HOUR_,open,high,low,close,op_bought,op_sold,eth_bought,eth_sold,op_fees,eth_fees,trade_count,vwap_24h,vwap_168h
2026-01-05 11:00:00,10108.765191999668,10112.048170579943,10108.765191999668,10112.048170579943,0.0,306.21398961383466,0.0301961551806665,0.0,0.9186419688415041,0.0,5,9868.036546557229,10309.163575038927
2026-01-05 12:00:00,10112.048200370993,10112.048200370993,10021.601412289809,10021.601412289809,8216.63788889796,0.0027307915793664973,2.69243706244e-07,0.8186370760199012,8.192374738099491e-06,0.002455911228059704,28,9878.898914007386,10306.065298248574
2026-01-05 13:00:00,10018.096382907452,10018.096382907452,9988.145906331987,9998.210070718227,3077.3929497344393,890.4615253011948,0.08883791755926088,0.3085071896252322,2.671384575903584,0.0009255215688756967,6,9882.188970302846,10304.163166371309
2026-01-05 14:00:00,9998.210099735461,10002.345430455287,9939.484252938784,9939.484252938784,5703.311676935697,388.7966678044375,0.03876198784783315,0.5737185429008766,1.1663900034133126,0.00172115562870263,21,9887.406513052962,10301.050173849695
2026-01-05 15:00:00,9942.966685008116,9943.4028843066,9898.55451705944,9898.55451705944,4043.4894547958793,357.9969037213409,0.035902527864705255,0.40879618790276495,1.0739907111640228,0.0012263885637082948,19,9892.636286241392,10298.488727056387
2026-01-05 16:00:00,9894.968425701865,9894.968425701865,9864.686572684326,9864.755482603885,3045.2089383070247,6.277507655111713,0.00063444993179114,0.30909488098956867,0.01883252296533514,0.0009272846429687061,14,9907.617165149877,10296.531518782147
2026-01-05 17:00:00,9864.755500344305,9913.330617285092,9863.382107067906,9865.937844116972,4837.497628194608,4884.433284728777,0.49247406240554265,0.49065996130464834,14.653299854186331,0.001471979883913945,30,9937.553721378497,10290.571490745313
2026-01-05 18:00:00,9869.39033705158,9870.850315705093,9806.10914343684,9806.109143475089,6311.22461731264,447.132286186609,0.045173741430544416,0.6435452857376295,1.341396858559827,0.0019306358572128886,25,9938.180387572653,10285.973760755645
2026-01-05 19:00:00,9809.266015351837,9881.210057192848,9809.266015351837,9881.210057192848,1.2125246737804065,7571.620280248753,0.7670289033152363,0.000123754091878688,22.71486084074626,3.71262275636064e-07,25,9941.582963187455,10281.077702971541
2026-01-05 20:00:00,9881.210084566912,9885.16051730679,9864.93036334449,9884.779439968577,1541.1775043131734,1925.1706774281322,0.19436756059245003,0.15656632817436436,5.7755120322843965,0.0004696989845230931,22,9939.782595586827,10279.01119228759
2026-01-05 21:00:00,9883.720549236703,9883.722384163233,9883.720549236703,9883.722384163233,142.7169090091016,0.18241556288892286,1.8400793346210002e-05,0.014481987923460633,0.0005472466886667686,4.3445963770381896e-05,3,9942.82684984262,10278.928260596835
2026-01-05 22:00:00,9883.722411557113,9883.722411557113,9744.134789817848,9744.134789817848,16699.67754271485,1.6295115676966636,0.00016578192972508201,1.7079814107386309,0.004888534703089991,0.005123944232215892,90,9925.503873132542,10267.48342683414
2026-01-05 23:00:00,9750.0761675537,9791.546934475995,9750.0761675537,9791.546934475995,0.0,4197.392032585833,0.4284031856610063,0.0,12.592176097757498,0.0,9,9922.645891505637,10264.522918316798
2026-01-06 00:00:00,9791.546964280096,9818.882035710429,9788.214443140962,9789.537551371572,2944.8937878676606,2806.158214528979,0.2853803484959457,0.30132138066662956,8.418474643586936,0.0009039641419998888,24,9919.374793176361,10260.753200865769
2026-01-06 01:00:00,9784.237286512975,9795.511278481958,9739.29487055993,9795.511278481958,4309.974130672582,4912.092243087203,0.5013622050470407,0.4426783814555354,14.73627672926161,0.0013280351443666063,30,9909.176486141416,10254.345765843726
2026-01-06 02:00:00,9799.000877831115,9799.014062906355,9799.000877831115,9799.014062906355,0.0,318.8300360189448,0.03244513918565756,0.0,0.9564901080568344,0.0,4,9907.59939139909,10254.142872592029
